State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
29,097,MO,Jasper County,22445,19697,25193,19.6,17.2,22,7330,6038,8622,25.2,20.8,29.6,4622,3631,5613,22.3,17.5,27.1,40047,37105,42989,.,.,.,.,.,.
29,099,MO,Jefferson County,23387,20078,26696,10.6,9.1,12.1,7778,6358,9198,14.9,12.2,17.6,5007,3981,6033,13.1,10.4,15.8,58976,56398,61554,.,.,.,.,.,.
29,101,MO,Johnson County,7338,6017,8659,14.6,12,17.2,1951,1473,2429,16.9,12.8,21,1324,990,1658,16.4,12.3,20.5,49949,46353,53545,.,.,.,.,.,.
29,103,MO,Knox County,757,589,925,19.4,15.1,23.7,316,238,394,33.6,25.4,41.8,223,166,280,33,24.5,41.5,37581,33930,41232,.,.,.,.,.,.
29,105,MO,Laclede County,6412,5165,7659,18.4,14.8,22,2214,1682,2746,26.1,19.8,32.4,1501,1119,1883,24.3,18.1,30.5,36895,33174,40616,.,.,.,.,.,.
29,107,MO,Lafayette County,4278,3526,5030,13.4,11,15.8,1487,1185,1789,20.1,16,24.2,1049,833,1265,19.1,15.2,23,48128,45625,50631,.,.,.,.,.,.
29,109,MO,Lawrence County,6938,5723,8153,18.6,15.3,21.9,2566,1997,3135,27.2,21.2,33.2,1769,1363,2175,25.3,19.5,31.1,39908,36266,43550,.,.,.,.,.,.
29,111,MO,Lewis County,1341,1029,1653,14.3,11,17.6,518,388,648,23,17.2,28.8,354,261,447,21.1,15.6,26.6,41891,37732,46050,.,.,.,.,.,.
29,113,MO,Lincoln County,8376,7326,9426,15.7,13.7,17.7,2911,2451,3371,20.8,17.5,24.1,1993,1649,2337,19.3,16,22.6,53804,48762,58846,.,.,.,.,.,.
29,115,MO,Linn County,2419,1996,2842,20,16.5,23.5,851,683,1019,29.8,23.9,35.7,567,445,689,26.1,20.5,31.7,37597,33953,41241,.,.,.,.,.,.
29,117,MO,Livingston County,2232,1754,2710,16.6,13,20.2,739,561,917,23.8,18.1,29.5,507,381,633,22.6,17,28.2,47937,45371,50503,.,.,.,.,.,.
29,119,MO,McDonald County,4992,4062,5922,22.2,18.1,26.3,1888,1448,2328,32.3,24.8,39.8,1276,962,1590,29.4,22.2,36.6,34863,31372,38354,.,.,.,.,.,.
29,121,MO,Macon County,2569,2069,3069,17,13.7,20.3,917,712,1122,25.6,19.9,31.3,633,486,780,23.7,18.2,29.2,35345,32921,37769,.,.,.,.,.,.
29,123,MO,Madison County,2473,1957,2989,20.4,16.1,24.7,830,628,1032,30.2,22.9,37.5,572,430,714,28.2,21.2,35.2,35363,31962,38764,.,.,.,.,.,.
